review_id	module	entity_id	current_state	candidate_state	candidate_action	evidence_summary	confidence	manual_decision	manual_value	manual_notes	reviewer	review_date
HBREV-0096	Reaction_GPR	FACOAE100;FACOAE120;FACOAE140;FACOAE180	EHJ92938_1;EHJ92938_1;EHJ92938_1 or EHJ92982_1;...(+1)	EHJ92938.1;EHJ92938.1;EHJ92938.1 or EHJ92982.1;...(+1)	REVISE_GPR_CANDIDATE	GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=3.1.2.20; UniProt=A0A265E0I6; RBH=MBB3332095.1;GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=3.1.2.20; UniProt=A0A265E0I6; RBH=MBB3332095.1;GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=3.1.2.20; UniProt=A0A265E0E1;A0A265E0I6; RBH=MBB3332095.1;MBB3332338.1;GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=3.1.2.20; UniProt=A0A265E0I6; RBH=MBB3332095.1	GPR_CONFLICT					
HBREV-0097	Reaction_GPR	ALLTN	EHJ91652_1 or EHJ92866_1	EHJ91652.1 or EHJ92866.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; FAMILY_LEVEL_ONLY; EC=NO_GENE_EC; UniProt=A0A265DZY4;A0A265E144; RBH=MBB3329390.1;MBB3331508.1	GPR_CONFLICT					
HBREV-0098	Reaction_GPR	G3PAT120;G3PAT141;G3PAT161	EHJ91390_1;EHJ91390_1;EHJ91390_1	[UNRESOLVED:Csal_0861] or EHJ91400_1;[UNRESOLVED:Csal_0861] or EHJ91400_1;[UNRESOLVED:Csal_0861] or EHJ91400_1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; FAMILY_LEVEL_ONLY; EC=NO_GENE_EC; UniProt=; RBH=;GPR_CONFLICT; FAMILY_LEVEL_ONLY; EC=NO_GENE_EC; UniProt=; RBH=;GPR_CONFLICT; FAMILY_LEVEL_ONLY; EC=NO_GENE_EC; UniProt=; RBH=	GPR_CONFLICT					
HBREV-0099	Reaction_GPR	ECOAH12	EHJ91463_1	EHJ91463.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=3.1.2.4; UniProt=A0A265DY28; RBH=MBB3331031.1	GPR_CONFLICT					
HBREV-0100	Reaction_GPR	MTHFR3	EHJ94192_1	EHJ94192.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=1.5.1.54; UniProt=A0A265DTL7; RBH=MBB3332184.1	GPR_CONFLICT					
HBREV-0101	Reaction_GPR	HACD1i	EHJ92213_1 or EHJ92231_1 or EHJ93247_1	EHJ92213_1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=CONFLICT; UniProt=; RBH=	GPR_CONFLICT					
HBREV-0102	Reaction_GPR	AHSERL2	EHJ91951_1 or EHJ94589_1	EHJ93185_1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=EXACT; UniProt=; RBH=	GPR_CONFLICT					
HBREV-0103	Reaction_GPR	PTRCabcpp	EHJ92256_1 or EHJ94819_1 or EHJ94858_1 or (EHJ94855_1 and EHJ94858_1) or (EHJ92365_1 and EHJ92366_1 and EHJ92367_1) or (EHJ92365_1 and EHJ92366_1 and EHJ93000_1) or (EHJ92365_1 and EHJ92366_1 and EHJ94819_1) or (EHJ92365_1 and EHJ92366_1 and EHJ92367_1 and EHJ92368_1)	EHJ92256.1 or EHJ92365.1 or EHJ92366.1 or EHJ92367.1 or EHJ92368.1 or EHJ93000.1 or EHJ94819.1 or EHJ94855.1 or EHJ94858.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; STEREOSPECIFICITY_UNRESOLVED; EC=7.6.2.11; UniProt=A0A265DTQ0;A0A265DTS2;A0A265DTV6;A0A265DU40;...(+5); RBH=MBB3329953.1;MBB3329954.1;MBB3329955.1;MBB3329956.1;...(+4)	GPR_CONFLICT					
HBREV-0104	Reaction_GPR	GLYCLTDy	EHJ92805_1	EHJ91725_1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=NO_GENE_EC; UniProt=; RBH=	GPR_CONFLICT					
HBREV-0105	Reaction_GPR	KAT1	EHJ92212_1	EHJ92212.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=2.3.1.16; UniProt=A0ABX4G5G8; RBH=MBB3331773.1	GPR_CONFLICT					
HBREV-0106	Reaction_GPR	GLYCTO1	EHJ92332_1 or (EHJ92882_1 and EHJ92883_1 and EHJ92884_1)	[UNRESOLVED:Csal_2687] and EHJ92883_1 and EHJ92884_1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=CONFLICT; UniProt=; RBH=	GPR_CONFLICT					
HBREV-0107	Reaction_GPR	DHDPRx_r	EHJ93904_1	EHJ93904.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; FAMILY_LEVEL_ONLY; EC=1.17.1.8; UniProt=A0A265DZB9; RBH=MBB3330837.1	GPR_CONFLICT					
HBREV-0108	Reaction_GPR	PTRCabc	EHJ92256_1 or EHJ92367_1 or EHJ93000_1 or EHJ94819_1 or EHJ94858_1	EHJ92256.1 or EHJ92367.1 or EHJ93000.1 or EHJ94819.1 or EHJ94858.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; STEREOSPECIFICITY_UNRESOLVED; EC=7.6.2.11; UniProt=A0A265DTQ0;A0A265DUJ2;A0A265E0G0;A0A265E1B3;...(+1); RBH=MBB3329954.1;MBB3331272.1;MBB3331351.1;MBB3332356.1	GPR_CONFLICT					
HBREV-0109	Reaction_GPR	NADHPO	EHJ92369_1 or (EHJ92369_1 and EHJ92370_1)	EHJ92369.1 or EHJ92370.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=1.11.1.26; UniProt=A0A265DTW5;A0A265DUS0; RBH=MBB3329897.1;MBB3329898.1	GPR_CONFLICT					
HBREV-0110	Reaction_GPR	CYSDDS	EHJ94647_1	EHJ94647.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=3.5.99.7; UniProt=A0A265E1P6; RBH=	GPR_CONFLICT					
HBREV-0111	Reaction_GPR	FEOXAMR1;FEOXAMR2;FEOXAMR3	EHJ93762_1;EHJ93762_1;EHJ93762_1	[UNRESOLVED:Csal_3257];[UNRESOLVED:Csal_3257];[UNRESOLVED:Csal_3257]	REVISE_GPR_CANDIDATE	GPR_LOW; FAMILY_LEVEL_ONLY; EC=NO_REACTION_EC; UniProt=; RBH=;GPR_LOW; FAMILY_LEVEL_ONLY; EC=NO_REACTION_EC; UniProt=; RBH=;GPR_LOW; FAMILY_LEVEL_ONLY; EC=NO_REACTION_EC; UniProt=; RBH=	GPR_LOW					
HBREV-0001	Biomass	RNA	legacy Growth coefficients	0.210000 g/gDW		V2.2 RNA assumption and ATP_RNA bookkeeping	MEDIUM					
HBREV-0002	Biomass	Cofactors	legacy residual scaffold	V2.2 same-components retained		HB residual scaffold	MEDIUM					
HBREV-0003	Biomass	DNA	legacy Growth coefficients	0.031000 g/gDW		genome composition / V2.2 normalization	HIGH					
HBREV-0004	Biomass	GAM	legacy ATP bookkeeping	53.950000 mmol ATP/gDW		V2.2 validated bookkeeping	MEDIUM					
HBREV-0005	Biomass	Lipid	legacy residual scaffold	V2.2 same-components retained		HB residual scaffold	MEDIUM					
HBREV-0006	Biomass	Protein	legacy Growth coefficients	0.550000 g/gDW		proteome-derived amino-acid composition	HIGH					
HBREV-0007	Biomass	Cell wall	legacy residual scaffold	V2.2 same-components retained		HB residual scaffold	MEDIUM					
HBREV-0008	Biomass	Other	legacy residual scaffold	Residual total 0.209000 g/gDW		V2.2 residual normalization	MEDIUM					
HBREV-0010	Gapfill	GALKr		RETAIN_SELECTED_GAPFILL_CHEMISTRY; GPR=EMPTY		existing HB phenotype benchmark; no foreign GPR transfer						
HBREV-0011	Gapfill	MANabcpp		RETAIN_SELECTED_GAPFILL_CHEMISTRY; GPR=EMPTY		existing HB phenotype benchmark; no foreign GPR transfer						
HBREV-0012	Gapfill	HEX4		RETAIN_SELECTED_GAPFILL_CHEMISTRY; GPR=EMPTY		existing HB phenotype benchmark; no foreign GPR transfer						
HBREV-0013	Gapfill	UGLT		RETAIN_SELECTED_GAPFILL_CHEMISTRY; GPR=EMPTY		existing HB phenotype benchmark; no foreign GPR transfer						
HBREV-0009	Direction	NADH10;NADH5;NADH9	DRAFT_BOUNDS;DRAFT_BOUNDS;DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	DIRECTION_REVIEW	INTERNAL_DIRECTION_DISAGREEMENT; HIGH;INTERNAL_DIRECTION_DISAGREEMENT; HIGH;INTERNAL_DIRECTION_DISAGREEMENT; HIGH	MIXED					
HBREV-0023	Direction	SPODM;SPODMpp	DRAFT_BOUNDS;DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	DIRECTION_REVIEW	INTERNAL_DIRECTION_DISAGREEMENT; HIGH;INTERNAL_DIRECTION_DISAGREEMENT; HIGH	MIXED					
HBREV-0024	Direction	ALCD2ir	DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	DIRECTION_REVIEW	INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT	MIXED					
HBREV-0025	Direction	NADDPp_1	DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	DIRECTION_REVIEW	INTERNAL_DIRECTION_DISAGREEMENT; HIGH	MIXED					
HBREV-0026	Direction	AADb;ADOCBIAH;AHMMPS_1;AKGDa;CYSDSF;CYSTA;DKDID;GLCOASYNT;GLYALDDr;GLYDHDA;HSERTA;LEULEULAPc;MBCOAi;NNATr;ORNCD;PHCHGS;PPK2;PPNDH2;PYDXOR;SUCD4;UAG4Ei;VCOAD;VPAMTr	DRAFT_BOUNDS;DRAFT_BOUNDS;DRAFT_BOUNDS;...(+20)	REVIEW_DIRECTION_EVIDENCE	DIRECTION_REVIEW	INTERNAL_DIRECTION_DISAGREEMENT; HIGH;SPECIAL_OR_CUSTOM_BOUND_DIFFERENCE; MEDIUM;INTERNAL_DIRECTION_DISAGREEMENT; HIGH;INTERNAL_DIRECTION_DISAGREEMENT; HIGH;...(+19)	MIXED					
HBREV-0027	Direction	ALCD2y	DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	DIRECTION_REVIEW	INTERNAL_DIRECTION_DISAGREEMENT; HIGH	MIXED					
HBREV-0028	Direction	BTS	DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	DIRECTION_REVIEW	INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT	MIXED					
HBREV-0029	Direction	NADPHQR2;NADPHQR3	DRAFT_BOUNDS;DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	DIRECTION_REVIEW	INTERNAL_DIRECTION_DISAGREEMENT; HIGH;INTERNAL_DIRECTION_DISAGREEMENT; HIGH	MIXED					
HBREV-0030	Direction	ACOAD2;ACOAD3;ACOAD6;ACOAD7	DRAFT_BOUNDS;DRAFT_BOUNDS;DRAFT_BOUNDS;...(+1)	REVIEW_DIRECTION_EVIDENCE	DIRECTION_REVIEW	INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT;INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT;INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT;INTERNAL_DIRECTION_DISAGREEMENT; HIGH	MIXED					
