review_id	group_id	category	object_type	object_id	current_state	proposed_state	recommended_action	confidence	evidence_summary	evidence_sources	reason	protected_status	dependency	predicted_impact	review_priority	mandatory	human_decision	human_value	human_note	apply_to_group	member_count	source_detail_file
HBREV-0011	GAPF-53B1BCC23F	GAPFILL	REACTION	MANabcpp	draft_presence=NO	RETAIN_SELECTED_GAPFILL_CHEMISTRY; GPR=EMPTY	REVIEW_SELECTED_GAPFILL	HISTORICALLY_VALIDATED	existing HB phenotype benchmark; no foreign GPR transfer	SELECTED_GAPFILL_REVIEW.tsv	Selected carbon phenotype repair from existing HB workflow	CONDITIONAL	carbon phenotype; GPR; exchange routes	Existing HB carbon-phenotype validation; finalize must rerun	P0	YES					1	SELECTED_GAPFILL_REVIEW.tsv
HBREV-0012	GAPF-613C4D4585	GAPFILL	REACTION	HEX4	draft_presence=NO	RETAIN_SELECTED_GAPFILL_CHEMISTRY; GPR=EMPTY	REVIEW_SELECTED_GAPFILL	HISTORICALLY_VALIDATED	existing HB phenotype benchmark; no foreign GPR transfer	SELECTED_GAPFILL_REVIEW.tsv	Selected carbon phenotype repair from existing HB workflow	PROTECTED	carbon phenotype; GPR; exchange routes	Existing HB carbon-phenotype validation; finalize must rerun	P0	YES					1	SELECTED_GAPFILL_REVIEW.tsv
HBREV-0013	GAPF-E4E361D552	GAPFILL	REACTION	UGLT	draft_presence=NO	RETAIN_SELECTED_GAPFILL_CHEMISTRY; GPR=EMPTY	REVIEW_SELECTED_GAPFILL	HISTORICALLY_VALIDATED	existing HB phenotype benchmark; no foreign GPR transfer	SELECTED_GAPFILL_REVIEW.tsv	Selected carbon phenotype repair from existing HB workflow	PROTECTED	carbon phenotype; GPR; exchange routes	Existing HB carbon-phenotype validation; finalize must rerun	P0	YES					1	SELECTED_GAPFILL_REVIEW.tsv
HBREV-0014	GPR-6FEE4D293C	GPR	REACTION_GROUP	NADH5	EHJ92240_1 or EHJ92340_1 or EHJ92457_1 or EHJ92612_1 or EHJ94592_1	EHJ92340_1	REVIEW_GPR	GPR_LOW	GPR_MEDIUM; FAMILY_LEVEL_ONLY; EC=NO_REACTION_EC; UniProt=; RBH=	GPR_PROPOSALS.tsv	Changed GPR is conflict/clear/protected and therefore requires centralized adjudication.	PROTECTED	reaction retention; phenotype; downstream gene statistics	GPR-only change; stoichiometry unchanged; phenotype regression required after finalize	P0	YES					1	GPR_PROPOSALS.tsv
HBREV-0015	GPR-AB11AC9FB4	GPR	REACTION_GROUP	AACOAR_syn;ACCOAC;AGDC;ATHRDHr;ATPS4rpp;DHORDfum;DMPPS;DNTPPA;DURAD;DURAD2;ECOAH9ir;GLCDpp;H2ASE_syn;HACD1_1;HIBDkt;HXPRT;IPDPS;MGCH;NAPRT;OPHBDC;PPA2;PPAKr;PPK2;SSCOARy;THD2pp;TRE6PP;URIC	EHJ91589_1;EHJ91601_1 or EHJ91649_1 or (EHJ91601_1 and EHJ91602_1) or (EHJ91601_1 and EHJ91602_1 and EHJ91956_1) or (EHJ91601_1 and EHJ91956_1 and EHJ93768_1);EHJ91652_1;...(+24)	EHJ91589.1;EHJ91601_1 and [UNRESOLVED:HB_MODEL_ID:EHJ91600_1];EHJ91652.1;...(+24)	REVIEW_GPR	GPR_CONFLICT	GPR_CONFLICT; FAMILY_LEVEL_ONLY; EC=1.1.1.100; UniProt=A0A265E0N3; RBH=MBB3329262.1;GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=CONFLICT; UniProt=; RBH=;GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=NO_GENE_EC; UniProt=A0A265DZY4; RBH=MBB3331508.1;GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=CONFLICT; UniProt=; RBH=;...(+23)	GPR_PROPOSALS.tsv	Changed GPR is conflict/clear/protected and therefore requires centralized adjudication.	CONDITIONAL;CRITICAL;PROTECTED	reaction retention; phenotype; downstream gene statistics	GPR-only change; stoichiometry unchanged; phenotype regression required after finalize	P0	YES					27	GPR_PROPOSALS.tsv
HBREV-0016	GPR-F3F2DC815B	GPR	REACTION_GROUP	SALCHS4FEabcpp	EHJ92678_1 and EHJ92703_1	EHJ92678.1 or EHJ92703.1	REVIEW_GPR	GPR_LOW	GPR_MEDIUM; FAMILY_LEVEL_ONLY; EC=NO_REACTION_EC; UniProt=A0A265DVS1;A0A265E1A2; RBH=	GPR_PROPOSALS.tsv	Changed GPR is conflict/clear/protected and therefore requires centralized adjudication.	PROTECTED	reaction retention; phenotype; downstream gene statistics	GPR-only change; stoichiometry unchanged; phenotype regression required after finalize	P0	YES					1	GPR_PROPOSALS.tsv
HBREV-0017	GPR-F453BC434B	GPR	REACTION_GROUP	CYTBDpp;CYTBO3_4pp	(EHJ93005_1 and EHJ93006_1) or (EHJ94557_1 and EHJ94558_1) or (EHJ93004_1 and EHJ93005_1 and EHJ93006_1);(EHJ93313_1 and EHJ93314_1) or (EHJ93311_1 and EHJ93312_1 and EHJ93313_1 and EHJ93314_1)	EHJ91884_1 and EHJ91885_1;EHJ93314_1 and [UNRESOLVED:Csal_0955] and EHJ93312_1 and EHJ93311_1 and EHJ93310_1	REVIEW_GPR	GPR_LOW	GPR_MEDIUM; FAMILY_LEVEL_ONLY; EC=NO_REACTION_EC; UniProt=; RBH=;GPR_MEDIUM; FAMILY_LEVEL_ONLY; EC=NO_REACTION_EC; UniProt=; RBH=	GPR_PROPOSALS.tsv	Changed GPR is conflict/clear/protected and therefore requires centralized adjudication.	PROTECTED	reaction retention; phenotype; downstream gene statistics	GPR-only change; stoichiometry unchanged; phenotype regression required after finalize	P0	YES					2	GPR_PROPOSALS.tsv
HBREV-0018	REAC-8BE79AEC03	REACTION	REACTION_GROUP	NADH5	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	REVIEW_REACTION	MIXED	SOFT_CONFLICT; SOFT_CONFLICT; blocked=NOT_BLOCKED	REACTION_PROPOSALS.tsv	Hard chemistry/evidence conflict or protected reaction integrity issue.	PROTECTED	GPR; direction; transport; phenotype; QC	No patch applied; final impact must be recomputed from immutable parent	P0	YES					1	REACTION_PROPOSALS.tsv
HBREV-0019	REAC-945B0E5381	REACTION	REACTION_GROUP	AACOAR_syn;ACCOAC;AGDC;ATHRDHr;ATPM;CYSTL;DHORDfum;DMPPS;DNTPPA;DURAD;DURAD2;ECOAH9ir;Growth;H2ASE_syn;HACD1_1;HIBDkt;HXPRT;IPDPS;MGCH;NAPRT;OPHBDC;PPA2;PPAKr;SSCOARy;TRE6PP	PRESENT;PRESENT;PRESENT;...(+22)	REVIEW_RETENTION_OR_CHEMISTRY	REVIEW_REACTION	MIXED	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;...(+21)	REACTION_PROPOSALS.tsv	Hard chemistry/evidence conflict or protected reaction integrity issue.	CONDITIONAL;CRITICAL	GPR; direction; transport; phenotype; QC	No patch applied; final impact must be recomputed from immutable parent	P0	YES					25	REACTION_PROPOSALS.tsv
HBREV-0020	TRAN-B089FA5C9A	TRANSPORT	REACTION_GROUP	CYTBDpp;CYTBO3_4pp	gene=EHJ91884_1 and EHJ91885_1; mechanism=ION_COUPLED_OR_PASSIVE;gene=EHJ93314_1 and [UNRESOLVED:Csal_0955] and EHJ93312_1 and EHJ93311_1 and EHJ93310_1; mechanism=ION_COUPLED_OR_PASSIVE	REVIEW_TRANSPORT_ASSIGNMENT	REVIEW_TRANSPORT	MIXED	substrate=q8h2; specificity=FAMILY_LEVEL_ONLY; direction_review=YES; phenotype=NOT_TESTED;substrate=q8h2; specificity=FAMILY_LEVEL_ONLY; direction_review=NO; phenotype=NOT_TESTED	TRANSPORT_PROPOSALS.tsv	Transport substrate specificity, coupling or direction cannot be inferred safely from generic family evidence.	PROTECTED	exchange connectivity; carbon phenotype; direction; GPR	Potential growth/phenotype effect; no transporter patch applied	P0	YES					2	TRANSPORT_PROPOSALS.tsv
HBREV-0021	TRAN-EA71B195AB	TRANSPORT	REACTION_GROUP	SALCHS4FEabcpp	gene=EHJ92678.1 or EHJ92703.1; mechanism=ATP_COUPLED	REVIEW_TRANSPORT_ASSIGNMENT	REVIEW_TRANSPORT	MIXED	substrate=salchs4fe; specificity=FAMILY_LEVEL_ONLY; direction_review=NO; phenotype=NOT_TESTED	TRANSPORT_PROPOSALS.tsv	Transport substrate specificity, coupling or direction cannot be inferred safely from generic family evidence.	PROTECTED	exchange connectivity; carbon phenotype; direction; GPR	Potential growth/phenotype effect; no transporter patch applied	P0	YES					1	TRANSPORT_PROPOSALS.tsv
HBREV-0022	TRAN-EBA521C638	TRANSPORT	REACTION_GROUP	ATPS4rpp;D_LACt2;GLCDpp;NADHNQR;PIt2r;THD2pp	gene=EHJ94287_1 and EHJ94286_1 and EHJ94285_1 and EHJ94284_1 and EHJ94283_1 and EHJ94282_1 and EHJ94281_1 and EHJ94280_1; mechanism=ATP_COUPLED;gene=EHJ92879.1; mechanism=ION_COUPLED_OR_PASSIVE;gene=EHJ92709.1 or EHJ93458.1; mechanism=ION_COUPLED_OR_PASSIVE;...(+3)	REVIEW_TRANSPORT_ASSIGNMENT	REVIEW_TRANSPORT	MIXED	substrate=; specificity=FAMILY_LEVEL_ONLY; direction_review=YES; phenotype=NOT_TESTED;substrate=lac__D; specificity=STEREOSPECIFICITY_UNRESOLVED; direction_review=YES; phenotype=NOT_TESTED;substrate=glc__D;q8; specificity=STEREOSPECIFICITY_UNRESOLVED; direction_review=NO; phenotype=NOT_TESTED;substrate=na1;q8; specificity=FAMILY_LEVEL_ONLY; direction_review=YES; phenotype=NOT_TESTED;...(+2)	TRANSPORT_PROPOSALS.tsv	Transport substrate specificity, coupling or direction cannot be inferred safely from generic family evidence.	CONDITIONAL;PROTECTED	exchange connectivity; carbon phenotype; direction; GPR	Potential growth/phenotype effect; no transporter patch applied	P0	YES					6	TRANSPORT_PROPOSALS.tsv
HBREV-0023	DIRE-5DB2E855C9	DIRECTION_CHEMISTRY	REACTION_GROUP	SPODM;SPODMpp	DRAFT_BOUNDS;DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	REVIEW_DIRECTION	MIXED	INTERNAL_DIRECTION_DISAGREEMENT; HIGH;INTERNAL_DIRECTION_DISAGREEMENT; HIGH	DIRECTION_PROPOSALS.tsv	Internal/special direction disagreement is review-only; universal bounds are not authoritative.	NOT_PROTECTED	growth; cycles; phenotype; unbounded flux	No bound change applied; full QC/phenotype regression required after finalize	P1	YES					2	DIRECTION_PROPOSALS.tsv
HBREV-0024	DIRE-786B4CBDF2	DIRECTION_CHEMISTRY	REACTION_GROUP	ALCD2ir	DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	REVIEW_DIRECTION	MIXED	INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT	DIRECTION_PROPOSALS.tsv	Internal/special direction disagreement is review-only; universal bounds are not authoritative.	NOT_PROTECTED	growth; cycles; phenotype; unbounded flux	No bound change applied; full QC/phenotype regression required after finalize	P1	YES					1	DIRECTION_PROPOSALS.tsv
HBREV-0025	DIRE-7B975A98B8	DIRECTION_CHEMISTRY	REACTION_GROUP	NADDPp_1	DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	REVIEW_DIRECTION	MIXED	INTERNAL_DIRECTION_DISAGREEMENT; HIGH	DIRECTION_PROPOSALS.tsv	Internal/special direction disagreement is review-only; universal bounds are not authoritative.	NOT_PROTECTED	growth; cycles; phenotype; unbounded flux	No bound change applied; full QC/phenotype regression required after finalize	P1	YES					1	DIRECTION_PROPOSALS.tsv
HBREV-0026	DIRE-85EC1DE126	DIRECTION_CHEMISTRY	REACTION_GROUP	AADb;ADOCBIAH;AHMMPS_1;AKGDa;CYSDSF;CYSTA;DKDID;GLCOASYNT;GLYALDDr;GLYDHDA;HSERTA;LEULEULAPc;MBCOAi;NNATr;ORNCD;PHCHGS;PPK2;PPNDH2;PYDXOR;SUCD4;UAG4Ei;VCOAD;VPAMTr	DRAFT_BOUNDS;DRAFT_BOUNDS;DRAFT_BOUNDS;...(+20)	REVIEW_DIRECTION_EVIDENCE	REVIEW_DIRECTION	MIXED	INTERNAL_DIRECTION_DISAGREEMENT; HIGH;SPECIAL_OR_CUSTOM_BOUND_DIFFERENCE; MEDIUM;INTERNAL_DIRECTION_DISAGREEMENT; HIGH;INTERNAL_DIRECTION_DISAGREEMENT; HIGH;...(+19)	DIRECTION_PROPOSALS.tsv	Internal/special direction disagreement is review-only; universal bounds are not authoritative.	NOT_PROTECTED	growth; cycles; phenotype; unbounded flux	No bound change applied; full QC/phenotype regression required after finalize	P1	YES					23	DIRECTION_PROPOSALS.tsv
HBREV-0027	DIRE-A4EF1EA026	DIRECTION_CHEMISTRY	REACTION_GROUP	ALCD2y	DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	REVIEW_DIRECTION	MIXED	INTERNAL_DIRECTION_DISAGREEMENT; HIGH	DIRECTION_PROPOSALS.tsv	Internal/special direction disagreement is review-only; universal bounds are not authoritative.	NOT_PROTECTED	growth; cycles; phenotype; unbounded flux	No bound change applied; full QC/phenotype regression required after finalize	P1	YES					1	DIRECTION_PROPOSALS.tsv
HBREV-0028	DIRE-B2E5D47CBC	DIRECTION_CHEMISTRY	REACTION_GROUP	BTS	DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	REVIEW_DIRECTION	MIXED	INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT	DIRECTION_PROPOSALS.tsv	Internal/special direction disagreement is review-only; universal bounds are not authoritative.	NOT_PROTECTED	growth; cycles; phenotype; unbounded flux	No bound change applied; full QC/phenotype regression required after finalize	P1	YES					1	DIRECTION_PROPOSALS.tsv
HBREV-0029	DIRE-BE4A252090	DIRECTION_CHEMISTRY	REACTION_GROUP	NADPHQR2;NADPHQR3	DRAFT_BOUNDS;DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	REVIEW_DIRECTION	MIXED	INTERNAL_DIRECTION_DISAGREEMENT; HIGH;INTERNAL_DIRECTION_DISAGREEMENT; HIGH	DIRECTION_PROPOSALS.tsv	Internal/special direction disagreement is review-only; universal bounds are not authoritative.	NOT_PROTECTED	growth; cycles; phenotype; unbounded flux	No bound change applied; full QC/phenotype regression required after finalize	P1	YES					2	DIRECTION_PROPOSALS.tsv
HBREV-0030	DIRE-D18B7E83CC	DIRECTION_CHEMISTRY	REACTION_GROUP	ACOAD2;ACOAD3;ACOAD6;ACOAD7	DRAFT_BOUNDS;DRAFT_BOUNDS;DRAFT_BOUNDS;...(+1)	REVIEW_DIRECTION_EVIDENCE	REVIEW_DIRECTION	MIXED	INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT;INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT;INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT;INTERNAL_DIRECTION_DISAGREEMENT; HIGH	DIRECTION_PROPOSALS.tsv	Internal/special direction disagreement is review-only; universal bounds are not authoritative.	NOT_PROTECTED	growth; cycles; phenotype; unbounded flux	No bound change applied; full QC/phenotype regression required after finalize	P1	YES					4	DIRECTION_PROPOSALS.tsv
HBREV-0031	DIRE-DA7136B4E6	DIRECTION_CHEMISTRY	REACTION_GROUP	ICDHx	DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	REVIEW_DIRECTION	MIXED	INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT	DIRECTION_PROPOSALS.tsv	Internal/special direction disagreement is review-only; universal bounds are not authoritative.	NOT_PROTECTED	growth; cycles; phenotype; unbounded flux	No bound change applied; full QC/phenotype regression required after finalize	P1	YES					1	DIRECTION_PROPOSALS.tsv
HBREV-0032	DIRE-E6C5D427F1	DIRECTION_CHEMISTRY	REACTION_GROUP	SHSL2r	DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	REVIEW_DIRECTION	MIXED	INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT	DIRECTION_PROPOSALS.tsv	Internal/special direction disagreement is review-only; universal bounds are not authoritative.	NOT_PROTECTED	growth; cycles; phenotype; unbounded flux	No bound change applied; full QC/phenotype regression required after finalize	P1	YES					1	DIRECTION_PROPOSALS.tsv
HBREV-0033	DIRE-F748D4B856	DIRECTION_CHEMISTRY	REACTION_GROUP	ACOAD1f	DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	REVIEW_DIRECTION	MIXED	INTERNAL_DIRECTION_DISAGREEMENT; CONFLICT	DIRECTION_PROPOSALS.tsv	Internal/special direction disagreement is review-only; universal bounds are not authoritative.	NOT_PROTECTED	growth; cycles; phenotype; unbounded flux	No bound change applied; full QC/phenotype regression required after finalize	P1	YES					1	DIRECTION_PROPOSALS.tsv
HBREV-0034	EXCH-32AFCF4549	EXCHANGE	REACTION_GROUP	EX_acgam1p_e;EX_apc_e;EX_arab__L_e;EX_cd2_e;EX_cm_e;EX_cro4_e;EX_doxrbcn_e;EX_fusa_e;EX_g1p_e;EX_hg2_e;EX_lcts_e;EX_m_xyl_e;EX_melib_e;EX_n2o_e;EX_novbcn_e;EX_oxa_e;EX_p_xyl_e;EX_pac_e;EX_quin_e;EX_rmn_e;EX_tartr__D_e;EX_tartr__L_e;EX_tol_e;EX_ttrcyc_e;EX_ump_e	PRESENT_BLOCKED;PRESENT_BLOCKED;PRESENT_BLOCKED;...(+22)	PROPOSE_REMOVE	REVIEW_EXCHANGE_REMOVAL	LOW	Blocked and lacks internal/gene/reference/pathway support;Blocked and lacks internal/gene/reference/pathway support;Blocked and lacks internal/gene/reference/pathway support;Blocked and lacks internal/gene/reference/pathway support;...(+21)	EXCHANGE_PROPOSALS.tsv	Blocked orphan exchanges meet the strict unsupported-candidate screen; removal remains expert-reviewed.	NOT_PROTECTED	medium configuration; dead ends; phenotype	May reduce reaction count; no growth impact preview claimed	P1	YES					25	EXCHANGE_PROPOSALS.tsv
HBREV-0035	REAC-036371514F	REACTION	REACTION_GROUP	NADHPO	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	REVIEW_REACTION	MIXED	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	REACTION_PROPOSALS.tsv	Hard chemistry/evidence conflict or protected reaction integrity issue.	NOT_PROTECTED	GPR; direction; transport; phenotype; QC	No patch applied; final impact must be recomputed from immutable parent	P1	YES					1	REACTION_PROPOSALS.tsv
HBREV-0036	REAC-05316B0D19	REACTION	REACTION_GROUP	KAS13;KAS2	PRESENT;PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	REVIEW_REACTION	MIXED	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	REACTION_PROPOSALS.tsv	Hard chemistry/evidence conflict or protected reaction integrity issue.	NOT_PROTECTED	GPR; direction; transport; phenotype; QC	No patch applied; final impact must be recomputed from immutable parent	P1	YES					2	REACTION_PROPOSALS.tsv
HBREV-0037	REAC-0AFF709F7A	REACTION	REACTION_GROUP	ECOAH12	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	REVIEW_REACTION	MIXED	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	REACTION_PROPOSALS.tsv	Hard chemistry/evidence conflict or protected reaction integrity issue.	NOT_PROTECTED	GPR; direction; transport; phenotype; QC	No patch applied; final impact must be recomputed from immutable parent	P1	YES					1	REACTION_PROPOSALS.tsv
HBREV-0038	REAC-1662EC909C	REACTION	REACTION_GROUP	MTHFR3	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	REVIEW_REACTION	MIXED	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	REACTION_PROPOSALS.tsv	Hard chemistry/evidence conflict or protected reaction integrity issue.	NOT_PROTECTED	GPR; direction; transport; phenotype; QC	No patch applied; final impact must be recomputed from immutable parent	P1	YES					1	REACTION_PROPOSALS.tsv
HBREV-0039	REAC-2A7ED48AA0	REACTION	REACTION_GROUP	G3PAT120;G3PAT141;G3PAT161	PRESENT;PRESENT;PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	REVIEW_REACTION	MIXED	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	REACTION_PROPOSALS.tsv	Hard chemistry/evidence conflict or protected reaction integrity issue.	NOT_PROTECTED	GPR; direction; transport; phenotype; QC	No patch applied; final impact must be recomputed from immutable parent	P1	YES					3	REACTION_PROPOSALS.tsv
HBREV-0040	REAC-2FBA00E0A7	REACTION	REACTION_GROUP	3NTD4pp;3NTD7pp	PRESENT;PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	REVIEW_REACTION	MIXED	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	REACTION_PROPOSALS.tsv	Hard chemistry/evidence conflict or protected reaction integrity issue.	NOT_PROTECTED	GPR; direction; transport; phenotype; QC	No patch applied; final impact must be recomputed from immutable parent	P1	YES					2	REACTION_PROPOSALS.tsv
HBREV-0041	REAC-35ABF1DF86	REACTION	REACTION_GROUP	FRD3	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	REVIEW_REACTION	MIXED	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	REACTION_PROPOSALS.tsv	Hard chemistry/evidence conflict or protected reaction integrity issue.	NOT_PROTECTED	GPR; direction; transport; phenotype; QC	No patch applied; final impact must be recomputed from immutable parent	P1	YES					1	REACTION_PROPOSALS.tsv
HBREV-0042	REAC-4FC6BDF5E8	REACTION	REACTION_GROUP	ASPO6	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	REVIEW_REACTION	MIXED	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	REACTION_PROPOSALS.tsv	Hard chemistry/evidence conflict or protected reaction integrity issue.	NOT_PROTECTED	GPR; direction; transport; phenotype; QC	No patch applied; final impact must be recomputed from immutable parent	P1	YES					1	REACTION_PROPOSALS.tsv
