reaction_id	equation	subsystem	original_gpr	candidate_genes	ec	ko	uniprot_support	rbh_support	reference_support	pathway_support	direction_support	transport_support	gapfill_status	evidence_class	conflict_flag	proposed_action	reason
EX_feoxam_e	feoxam_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_feoxam_un_e	feoxam_un_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fer_e	fer_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fmn_e	fmn_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fol_e	fol_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_for_e	for_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fru_e	fru_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fruur_e	fruur_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fuc_e	fuc_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fum_e	fum_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fusa_e	fusa_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_g1p_e	g1p_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_g3pc_e	g3pc_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_g3pe_e	g3pe_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_g3pg_e	g3pg_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_g3pi_e	g3pi_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_g3ps_e	g3ps_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_g6p_B_e	g6p_B_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_gal_bD_e	gal_bD_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_gal_e	gal_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_galctn__D_e	galctn__D_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_galctr__D_e	galctr__D_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_galt_e	galt_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_galur_e	galur_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_gam_e	gam_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glc__D_e	glc__D_e <=> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glc__aD_e	glc__aD_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glcn_e	glcn_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glcur_e	glcur_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_gln__L_e	gln__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glu__L_e	glu__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_gly_asn__L_e	gly_asn__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_gly_asp__L_e	gly_asp__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_gly_e	gly_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_gly_glu__L_e	gly_glu__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_gly_pro__L_e	gly_pro__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glyb_e	glyb_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glyc2p_e	glyc2p_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glyc3p_e	glyc3p_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glyc_e	glyc_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glyclt_e	glyclt_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glycol_e	glycol_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glygln_e	glygln_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glyglu_e	glyglu_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_glygly_e	glygly_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
